Trek Name,Region,Difficulty,Duration,Distance,Altitude,Best Time,Description
Karnala Fort Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Karnala Fort Trek</title><meta name=""description"" content=""Find out all the details you need to know about Karnala Fort Trek""/><meta property=""og:title"" content=""Karnala Fort Trek""/><meta property=""og:description"" content=""Find out all the details you need to know about Karnala Fort Trek""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/36bad763-063"
Kasar Devi   Binsar Trek,Uttarakhand,of,10-11 hr,190 km,"6,227 ft",you visit and of course your bargaining skill,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kasar Devi - Binsar Trek</title><meta name=""description"" content=""Find out all the details you need to know about Kasar Devi - Binsar Trek""/><meta property=""og:title"" content=""Kasar Devi - Binsar Trek""/><meta property=""og:description"" content=""Find out all the details you need to know about Kasar Devi - Binsar Trek""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prism"
Kavnai Fort Trek,Uttarakhand,level,10-11 hr,1.2 km,"6,560 ft",to do the trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kavnai Fort Trek - One of the Best Monsoon Treks for Beginners</title><meta name=""description"" content=""Kavnai Fort is a hidden fort near the village of Kavnai in Nashik. A detailed documentation guide to trek on your own with informative photos, tips and GPX File.""/><meta property=""og:title"" content=""Kavnai Fort Trek - One of the Best Monsoon Treks for Beginners""/><meta property=""og:desc"
Kheerganga Buni Buni Pass,Uttarakhand,walk,10-11 hr,190 km,"7,261 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kheerganga Buni Buni Pass</title><meta name=""description"" content=""Find out all the details about Kheerganga Buni Buni Pass here.""/><meta property=""og:title"" content=""Kheerganga Buni Buni Pass""/><meta property=""og:description"" content=""Find out all the details about Kheerganga Buni Buni Pass here.""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/0a"
Kinner Kailash Shivlingam Trek,Uttarakhand,of,10-11 hr,190 km,15004ft,Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kinner Kailash Shivlingam Trek</title><meta name=""description"" content=""The ultimate guide to Kinner Kailash Shivlingam Trek, find out all the details you need to know about Kinner Kailash Shivlingam Trek.""/><meta property=""og:title"" content=""Kinner Kailash Shivlingam Trek""/><meta property=""og:description"" content=""The ultimate guide to Kinner Kailash Shivlingam Trek, find out all the det"
Kipling Trail Trek,Uttarakhand,Easy,10-11 hr,3.5 km,"6,560 ft",To Do Kipling Trail,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kipling Trail Trek - The Original Trail from Dehradun to Mussoorie Brimming with Natural Beauty</title><meta name=""description"" content=""Kipling Trail is an exciting trek that marks the new Mussoorie road. A detailed guide with photos, trail map, GPX and info.""/><meta property=""og:title"" content=""Kipling Trail Trek - The Original Trail from Dehradun to Mussoorie Brimming with Natural Beau"
Kodachadri Trek,Uttarakhand,will,10-11 hr,6.20 km,"6,560 ft",to do the trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kodachadri Trek</title><meta name=""description"" content=""Kodachadri Trek is a mix of everything a Western Ghats trek must have. Sheer cliffs, dense forests, rolling hills and Hidlumane Waterfalls. A detailed guide with photos, trail map, GPX.""/><meta property=""og:title"" content=""Kodachadri Trek""/><meta property=""og:description"" content=""Kodachadri Trek is a mix of everything a Western Gha"
Kolahoi Glacier Trek,Uttarakhand,Easy,10-11 hr,10 km,7958 feet,to do this trek is between March to October,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kolahoi Glacier Trek</title><meta name=""description"" content=""Find out all the details that you need to know about Kolahoi Glacier Trek""/><meta property=""og:title"" content=""Kolahoi Glacier Trek""/><meta property=""og:description"" content=""Find out all the details that you need to know about Kolahoi Glacier Trek""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/"
Kolli Hills Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kolli Hills Trek</title><meta name=""description"" content=""Kolli Hills Trek - Find out all the details you need to know about this weekend trek in Tamilnadu""/><meta property=""og:title"" content=""Kolli Hills Trek""/><meta property=""og:description"" content=""Kolli Hills Trek - Find out all the details you need to know about this weekend trek in Tamilnadu""/><meta property=""og:image"" itemprop=""im"
Kolukkumalai Sunrise Trek,Uttarakhand,Easy,10-11 hr,1.25 km,"6,560 ft",to do,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kolukkumalai Sunrise Trek - Trek through the World’s Highest Tea Plantations</title><meta name=""description"" content=""The detailed guide to Kolukkumalai Sunrise Trek - Highlights, Trail information, Route Map, Difficult sections, the best season to do, food and water sources, where to stay, how to reach,  find out all the information you need to do it on your own""/><meta property=""og:titl"
Kookal Waterfalls Trek,Uttarakhand,Easy,10-11 hr,1 km,"6,560 ft",to Do the Kookal Waterfalls Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Thoothor Waterfall- Trek to a Hidden Gem near Kodaikanal</title><meta name=""description"" content=""A detailed guide to Thoothur or Kookal Waterfalls - Trail information, pictures, GPX file, difficult section, how to reach, stay options, food and water sources, find out all the details you need to know about this trek to do it on your own""/><meta property=""og:title"" content=""Thoothor Waterf"
Kopatty Trek,Uttarakhand,walk,10-11 hr,190 km,"1,500 feet",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kopatty Trek</title><meta name=""description"" content=""The complete guide to Kopatty trek - Find out all the details you need to know about this less popular but an ideal day trek in Coorg""/><meta property=""og:title"" content=""Kopatty Trek""/><meta property=""og:description"" content=""The complete guide to Kopatty trek - Find out all the details you need to know about this less popular but an "
Kothaligad Peth Fort Trek,Uttarakhand,of,10-11 hr,4 km,"6,560 ft",trek for anyone looking for a quick getaway from the bustling city life,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kothaligad trek</title><meta name=""description"" content=""Maps, pictures, downloadable GPX trail and information about three different routes- the only guide you&#x27;ll ever need to plan a trek to Kothaligad!""/><meta property=""og:title"" content=""Kothaligad trek""/><meta property=""og:description"" content=""Maps, pictures, downloadable GPX trail and information about three different routes- t"
Kudremukh Trek,Uttarakhand,will,10-11 hr,5 km,"6,560 ft",to do the Kudremukh Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kudremukh Trek - The Most Beautiful Trek in Karnataka</title><meta name=""description"" content=""Maps, pictures, GPX File, GPS Coordinates, trail and route information - the only guide you&#x27;ll ever need to plan a trek to Kudremukh!""/><meta property=""og:title"" content=""Kudremukh Trek - The Most Beautiful Trek in Karnataka""/><meta property=""og:description"" content=""Maps, pictures, GPX Fil"
Kugina Pass Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",you go in,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kugina Pass Trek</title><meta name=""description"" content=""Kugina Pass Trek - Find out all the details about this weekend trek in Uttarakhand""/><meta property=""og:title"" content=""Kugina Pass Trek""/><meta property=""og:description"" content=""Kugina Pass Trek - Find out all the details about this weekend trek in Uttarakhand""/><meta property=""og:image"" itemprop=""image"" content=""https://images.p"
Kugti Pass Trek,Uttarakhand,ground,10-11 hr,7 km,"6,560 ft",between Krishna Janmasthami and Radhasthami,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kugti Pass Trek - A high altitude pass in the Chamba region</title><meta name=""description"" content=""Find out all the details you need to know about Kugti Pass Trek""/><meta property=""og:title"" content=""Kugti Pass Trek - A high altitude pass in the Chamba region""/><meta property=""og:description"" content=""Find out all the details you need to know about Kugti Pass Trek""/><meta property=""og:i"
Kumara Parvatha Trek,Uttarakhand,and,10-11 hr,6 km,"6,560 ft",To Do Kumara Parvatha,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kumara Parvatha Trek - The Most Challenging Trek in the Western Ghats of Karnataka</title><meta name=""description"" content=""Maps, pictures, downloadable GPX file and trail information. This is the only guide you&#x27;ll ever need to plan a trek to Kumara Parvatha!""/><meta property=""og:title"" content=""Kumara Parvatha Trek - The Most Challenging Trek in the Western Ghats of Karnataka""/><met"
Kumta To Gokarna Beach Trek,Uttarakhand,grade,10-11 hr,12.8 km,"6,560 ft",to do the trek would be after monsoon recedes,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kumta to Gokarna Beach Trek - A trek through unknown beach trails</title><meta name=""description"" content=""Find out all the details you need to know about the unique Kumta to Gokarna Beach Trek""/><meta property=""og:title"" content=""Kumta to Gokarna Beach Trek - A trek through unknown beach trails""/><meta property=""og:description"" content=""Find out all the details you need to know about the"
Kunagalu Betta Trek,Uttarakhand,Easy,10-11 hr,1 km,"6,560 ft",to do the Kunagalu Betta Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kunagalu Betta Trek</title><meta name=""description"" content=""An easy day hike close to Bengaluru. Whether you are trekking with your friends or family, Kunagalu Betta trek is a perfect weekend getaway!""/><meta property=""og:title"" content=""Kunagalu Betta Trek""/><meta property=""og:description"" content=""An easy day hike close to Bengaluru. Whether you are trekking with your friends or family"
Kuppar Bugyal Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kuppar Bugyal Trek</title><meta name=""description"" content=""Find out all the details you need to know about Kuppar Bugyal Trek in this detailed guide""/><meta property=""og:title"" content=""Kuppar Bugyal Trek""/><meta property=""og:description"" content=""Find out all the details you need to know about Kuppar Bugyal Trek in this detailed guide""/><meta property=""og:image"" itemprop=""image"" content"
Kurinjal Peak,Uttarakhand,Easy,10-11 hr,1.9 km,"6,560 ft",To Do Kurinjal Peak,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Kurinjal Trek- Trek to the hidden gem in Kudremukh</title><meta name=""description"" content=""Maps, pictures, a downloadable GPX file and trail information. This is the only guide you&#x27;ll ever require to plan a trek for Kurinjal""/><meta property=""og:title"" content=""Kurinjal Trek- Trek to the hidden gem in Kudremukh""/><meta property=""og:description"" content=""Maps, pictures, a downloadabl"
Landour  Lal Tibba Trek,Uttarakhand,parking,10-11 hr,1.25 km,"6,560 ft",to do the Lal Tibba Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Landour – Lal Tibba Trek - Trek to the highest point of Mussoorie</title><meta name=""description"" content=""The complete guide to Landour Lal Tibba Trek - Trail information, highlights, gpx file, difficult sections on the trail, food and water sources, Frequently Asked Questions, how to reach the base, find out all the details you need to do this trek on your own""/><meta property=""og:title"
Letten Peak Trek,Uttarakhand,and,10-11 hr,23 km,"6,560 ft",to trek is from mid-June to September,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Letten Peak Trek - An Offbeat Weekend Trek near Srinagar City</title><meta name=""description"" content=""The complete guide to Letten Peak Trek - Route map, GPX file, trail information, difficult sections, best season, how to plan your travel, find everything you&#x27;ll ever need to plan your trek on your own.""/><meta property=""og:title"" content=""Letten Peak Trek - An Offbeat Weekend Trek "
Lingana Raigad Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Lingana Raigad Trek</title><meta name=""description"" content=""Find out all the details about the adventurous Lingana Raigad Trek""/><meta property=""og:title"" content=""Lingana Raigad Trek""/><meta property=""og:description"" content=""Find out all the details about the adventurous Lingana Raigad Trek""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/dac6d7"
Lonar Crater Lake Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Lonar Crater Lake Trek - An unexplored cosmic marvel in Maharashtra</title><meta name=""description"" content=""Lonar Crater Lake Trek - Find out all the details that you need to know to plan your trek to this unexplored cosmic marvel in Maharashtra""/><meta property=""og:title"" content=""Lonar Crater Lake Trek - An unexplored cosmic marvel in Maharashtra""/><meta property=""og:description"" conte"
Lonavala Bhimashankar Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Lonavala Bhimashankar Trek</title><meta name=""description"" content=""The complete guide to Lonavala Bhimashankar Trek. Find out all the details you need about this trek here.""/><meta property=""og:title"" content=""Lonavala Bhimashankar Trek""/><meta property=""og:description"" content=""The complete guide to Lonavala Bhimashankar Trek. Find out all the details you need about this trek here.""/><m"
Madhu Makrandgad Trek,Uttarakhand,Easy,10-11 hr,190 km,"4,055 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Madhu Makrandgad Trek</title><meta name=""description"" content=""The complete guide to Madhu Makrandgad Trek. Find out all the details you need to know about this weekend trek in Maharashtra""/><meta property=""og:title"" content=""Madhu Makrandgad Trek""/><meta property=""og:description"" content=""The complete guide to Madhu Makrandgad Trek. Find out all the details you need to know about this we"
Madhugiri Fort,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",to do the Madhugiri Fort Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Madhugiri Fort - Trek to the Second Largest Monolith of Asia</title><meta name=""description"" content=""Madhugiri Trek is one of the easily accessible treks. A detailed documentation guide to trek on your own with informative photos, tips and GPX File.""/><meta property=""og:title"" content=""Madhugiri Fort - Trek to the Second Largest Monolith of Asia""/><meta property=""og:description"" content="
Madmaheshwar Trek,Uttarakhand,of,10-11 hr,190 km,"6,560 ft",to Visit Madmaheshwar,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Madmaheshwar Trek - The Trek With The Grandest Views of Chaukhamba Massif</title><meta name=""description"" content=""With Trail Information, Itinerary, GPX, Map and Photos, this is the only guide you will ever need to plan your trek to Madmaheshwar.""/><meta property=""og:title"" content=""Madmaheshwar Trek - The Trek With The Grandest Views of Chaukhamba Massif""/><meta property=""og:description"
Mahindra Peak,Uttarakhand,Easy,10-11 hr,1.6 km,"6,560 ft",To Do Mahindra Peak Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Mahindra Peak</title><meta name=""description"" content=""Mahindra Peak trek is one of the highest peaks in Eastern Ghats. A detailed guide with photos, trail map, GPX.""/><meta property=""og:title"" content=""Mahindra Peak""/><meta property=""og:description"" content=""Mahindra Peak trek is one of the highest peaks in Eastern Ghats. A detailed guide with photos, trail map, GPX.""/><meta property=""og"
Mahuli Trek,Uttarakhand,walks,10-11 hr,190 km,"2,815 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Mahuli Trek - A paradise for rock climbers</title><meta name=""description"" content=""Mahuli Trek - Find out all the details you need to know about this trek in Pune""/><meta property=""og:title"" content=""Mahuli Trek - A paradise for rock climbers""/><meta property=""og:description"" content=""Mahuli Trek - Find out all the details you need to know about this trek in Pune""/><meta property=""og:ima"
Makalidurga Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",trek for beginners as well as experienced trekkers and for people looking for a quick weekend getaway,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Makalidurga Trek - A Historic Trek Near Doddaballapur</title><meta name=""description"" content=""Maps, pictures, GPX Files, GPS Coordinates, trail and route information - the only guide you&#x27;ll ever need to plan a trek to Makalidurga!""/><meta property=""og:title"" content=""Makalidurga Trek - A Historic Trek Near Doddaballapur""/><meta property=""og:description"" content=""Maps, pictures, GPX "
Maldaru Trek,Uttarakhand,walk,6-7 hrs,177 km,6955 ft,Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Maldaru Lake Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Maldaru Lake Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/19108b71-982d-4096-9f18-4e09ff988c57_Maldaru-Lake-Trek-Banner+Image-Indiahikes-Ravi-Ranjan.jpg?auto=compress,format""/><meta property=""og:image"
Mamneth Top Trek,Uttarakhand,trek,10-11 hr,20 km,"5,880 ft",to visit Mamneth Top is from May to September,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Mamneth Top Trek</title><meta name=""description"" content=""The Mamneth Top Trek is an easy moderate day trek that is accessible from Srinagar. Get all the information you need to do this trek - trail information, photos, tips and GPX File.""/><meta property=""og:title"" content=""Mamneth Top Trek""/><meta property=""og:description"" content=""The Mamneth Top Trek is an easy moderate day trek that "
Markandeya Fort Trek,Uttarakhand,offers,10-11 hr,2 km,"6,560 ft",to do the trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Markandeya Fort Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Markandeya Fort Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/42738614-6e5c-48ca-a0be-f95a750137f9_Markendaya+Fort+Trek+-+Banner+Image+-+Indiahikes+-+Saini+Krishnamurthy.jpg?auto=compress,format""/><"
Markha Valley Trek,Uttarakhand,scale,10-11 hr,60 km,"11,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Markha Valley Trek</title><meta name=""description"" content=""Markha Valley Trek -  The complete guide to the adventurous river valley trek in Kashmir. Find out all the details here.""/><meta property=""og:title"" content=""Markha Valley Trek""/><meta property=""og:description"" content=""Markha Valley Trek -  The complete guide to the adventurous river valley trek in Kashmir. Find out all the deta"
Mayali Pass Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",demands so you can keep yourself protected during the trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Mayali Pass Trek</title><meta name=""description"" content=""The detailed guide to Mayali Pass Trek. Find out all the information you need here.""/><meta property=""og:title"" content=""Mayali Pass Trek""/><meta property=""og:description"" content=""The detailed guide to Mayali Pass Trek. Find out all the information you need here.""/><meta property=""og:image"" itemprop=""image"" content=""""/><meta prope"
Meesapulimala Peak Trek,Uttarakhand,Moderate,10-11 hr,8 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Meesapulimala Peak Trek</title><meta name=""description"" content=""Meesapulimala Peak Trek - Find out all the details that you need to know about this weekend trek in Kerala""/><meta property=""og:title"" content=""Meesapulimala Peak Trek""/><meta property=""og:description"" content=""Meesapulimala Peak Trek - Find out all the details that you need to know about this weekend trek in Kerala""/><meta "
Mt Jogin 3,Uttarakhand,walk,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Mt Jogin-3 Expedition</title><meta name=""description"" content=""Find out about the exciting first mountaineering expedition of Indiahikes on Mt Jogin-3""/><meta property=""og:title"" content=""Mt Jogin-3 Expedition""/><meta property=""og:description"" content=""Find out about the exciting first mountaineering expedition of Indiahikes on Mt Jogin-3""/><meta property=""og:image"" itemprop=""image"" conte"
Mulkarkha Lake Trek,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Mulkarkha Lake Trek</title><meta name=""description"" content=""Mulkarkha Lake Trek - Find out all the details that you need to know about Mulkarkha Lake Trek.""/><meta property=""og:title"" content=""Mulkarkha Lake Trek""/><meta property=""og:description"" content=""Mulkarkha Lake Trek - Find out all the details that you need to know about Mulkarkha Lake Trek.""/><meta property=""og:image"" itemprop="""
Mullayanagiri Peak Trek,Uttarakhand,here,10-11 hr,190 km,"6,560 ft",and difficulty,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Mullayanagiri Trek: Trek to the Highest Peak in Karnataka</title><meta name=""description"" content=""Photos and Trail information for Mullayanagiri trek. This is all the information you need to trek to Mullayanagiri.""/><meta property=""og:title"" content=""Mullayanagiri Trek: Trek to the Highest Peak in Karnataka""/><meta property=""og:description"" content=""Photos and Trail information for Mulla"
Munnar Top Station Sunrise Trek,Uttarakhand,Easy,10-11 hr,1.25 km,"6,560 ft",to do,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Munnar Top Station Sunrise Trek - Trek to the highest peak of the “Kashmir of South India”</title><meta name=""description"" content=""The detailed guide to Munnar Top Station Sunrise Trek - Trail information, highlights, difficult sections on the trek, the best season to do, food and water sources, stay details, nearby places to visit, find out every information that you need to do the trek"
Musattu Hill Trek,Uttarakhand,salubrious,10-11 hr,2 km,"6,560 ft",to do the Musattu Hill Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Musattu Hill Trek</title><meta name=""description"" content=""We have explored a lesser known hill in a lesser known village of Tamil Nadu, the Musattu Hill Trek! Read to know how you can do the trek.""/><meta property=""og:title"" content=""Musattu Hill Trek""/><meta property=""og:description"" content=""We have explored a lesser known hill in a lesser known village of Tamil Nadu, the Musattu Hill "
Muthurayaswamy Betta Trek,Uttarakhand,Easy,10-11 hr,1 km,"6,560 ft",to do the trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Muthurayaswamy Betta Trek - An Unknown Trek through the Rocky Outcrop Loaded with Surprises</title><meta name=""description"" content=""Find out all the details you need to do Muthurayaswamy Betta Trek on your own""/><meta property=""og:title"" content=""Muthurayaswamy Betta Trek - An Unknown Trek through the Rocky Outcrop Loaded with Surprises""/><meta property=""og:description"" content=""Find out"
Nag Thatch Trek,Uttarakhand,as,10-11 hr,100 km,"6,560 ft",to do the Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Nag Thatch Trek</title><meta name=""description"" content=""""/><meta property=""og:title"" content=""Nag Thatch Trek""/><meta property=""og:description"" content=""""/><meta property=""og:image"" itemprop=""image"" content=""https://images.prismic.io/indiahike/ff487115-0f4c-4e3d-a19e-1b68bc74dea1_nag+thatch-banner+image-indiahikes-mahipal+bisht.jpg?auto=compress,format""/><meta property=""og:image:width"" c"
Nanda Devi Base Camp Trek,Uttarakhand,of,10-11 hr,190 km,"6,560 ft",you are going in,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Nanda Devi Base Camp Trek</title><meta name=""description"" content=""Nanda Devi Base Camp Trek - The complete guide to an adventurous trek in Uttarakhand. Find out all the details here.""/><meta property=""og:title"" content=""Nanda Devi Base Camp Trek""/><meta property=""og:description"" content=""Nanda Devi Base Camp Trek - The complete guide to an adventurous trek in Uttarakhand. Find out all th"
Nanda Devi National Park Trek,Uttarakhand,of,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Nanda Devi National Park Trek</title><meta name=""description"" content=""The complete guide to Nanda Devi National Park Trek. Find out all the details about this adventurous trek in Uttarakhand.""/><meta property=""og:title"" content=""Nanda Devi National Park Trek""/><meta property=""og:description"" content=""The complete guide to Nanda Devi National Park Trek. Find out all the details about this"
Nandi Hills Trek Brahmagiri,Uttarakhand,Easy,10-11 hr,190 km,"6,560 ft",or if there is water after the rains,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Nandi One Trek</title><meta name=""description"" content=""The Nandi One (Brahmagiri) trek is a bliss for kids to start trekking and exploring the outdoors. A Detailed guide with trail info, Maps, Photos, GPX file!""/><meta property=""og:title"" content=""Nandi One Trek""/><meta property=""og:description"" content=""The Nandi One (Brahmagiri) trek is a bliss for kids to start trekking and exploring "
Narasimha Parvatha Trek,Uttarakhand,from,10-11 hr,8 km,"6,560 ft",To Do the Narasimha Parvatha Trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Narasimha Parvatha Trek - Trek to the highest peak in Agumbe</title><meta name=""description"" content=""The complete guide to Narasimha Parvatha Trek. Find out all the details you need to do this trek on your own.""/><meta property=""og:title"" content=""Narasimha Parvatha Trek - Trek to the highest peak in Agumbe""/><meta property=""og:description"" content=""The complete guide to Narasimha Parvat"
Neelkanth Mahadev Lake Trek,Uttarakhand,Easy,10-11 hr,104.2 km,"13,225 ft",to do the trek,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Neelkanth Mahadev Lake Trek</title><meta name=""description"" content=""The Neelkanth Mahadev Lake trek is a hidden gem located deep in the interiors of magnificent Lahaul. The emerald-green alpine lake is believed to be the abode of Lord Shiva. A detailed guide with photos, trail map, GPX.""/><meta property=""og:title"" content=""Neelkanth Mahadev Lake Trek""/><meta property=""og:description"" con"
Nilgiris Green Lake Trek,Uttarakhand,out,10-11 hr,190 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Nilgiris Green Lake Trek</title><meta name=""description"" content=""Find out all the details you need to know about the beautiful Nilgiris Green Lake Trek""/><meta property=""og:title"" content=""Nilgiris Green Lake Trek""/><meta property=""og:description"" content=""Find out all the details you need to know about the beautiful Nilgiris Green Lake Trek""/><meta property=""og:image"" itemprop=""image"" c"
Nishani Motte Trek,Uttarakhand,Easy,10-11 hr,16 km,"6,560 ft",Wise Guides,"<!DOCTYPE html><html><head><meta charSet=""utf-8""/><meta name=""viewport"" content=""width=device-width""/><title>Nishani Motte Trek</title><meta name=""description"" content=""The complete guide to Nishani Motte Trek. Find out all the details you need to know about this weekend trek in Coorg""/><meta property=""og:title"" content=""Nishani Motte Trek""/><meta property=""og:description"" content=""The complete guide to Nishani Motte Trek. Find out all the details you need to know about this weekend trek in Coor"
